tx_id,user_id,merchant_id,amount,timestamp,is_fraud
716fda0a-45a8-4829-94e2-86e5ac8936bc,U1059,M110,388.31,2026-07-05 03:08:04.641170,0
9b69554d-7c54-435f-ac8c-3b6aa974d079,U1000,M108,429.91,2026-06-14 14:12:04.641170,0
372f871a-45ee-432d-aa07-f2137129cec7,U1033,M117,129.07,2026-06-15 22:45:04.641170,0
585d3f86-1d23-44e6-8329-20b7c143f426,U1028,M100,70.24,2026-06-24 07:27:04.641170,0
ad9fb00d-4882-473c-9c63-45ab6e0ed1e8,U1060,M118,165.27,2026-06-15 22:29:04.641170,0
86e52753-7c93-46cc-97d7-a560adb14670,U1067,M101,67.75,2026-06-27 03:58:04.641170,0
3873e57f-0ba0-48e8-8ef4-92c1aac93316,U1134,M103,374.1,2026-06-29 16:21:04.641170,0
0e0630cd-996d-4c50-bc04-a168652ffb49,U1114,M111,259.05,2026-06-12 23:16:04.641170,0
f200c261-4d29-41ab-b455-12f701f7c7ec,U1115,M116,114.67,2026-06-09 23:31:04.641170,0
c3a00c6f-2321-41e1-8471-04c036136e15,U1186,M116,154.31,2026-06-09 10:11:04.641170,0
1eb74b56-53ff-43a2-8a19-35014169b9fc,U1015,M115,424.41,2026-06-27 09:46:04.641170,0
6e3f683a-bf3c-4140-bf54-a51101fa964e,U1175,M103,247.68,2026-06-28 04:39:04.641170,0
88575117-6155-4667-a112-507c2cfa55b0,U1018,M102,164.45,2026-06-14 18:11:04.641170,0
8f0881ee-8011-416b-bae8-8926b423ccde,U1016,M104,141.13,2026-07-04 15:32:04.641170,0
5aaab32f-ce63-42b6-ab05-347fd556b37d,U1140,M110,193.55,2026-07-05 04:40:04.641170,0
bdf66ba5-dc9c-46de-a5a6-74c212738a23,U1135,M109,229.59,2026-07-05 13:27:04.641170,0
75b27455-04cc-4ede-afac-16730ad45230,U1110,M103,397.58,2026-06-13 05:08:04.641170,0
5024bdc6-dcb3-4df3-93ee-cdc6ebd14d2c,U1167,M117,361.82,2026-06-17 19:01:04.641170,0
67884209-92ca-425a-ade5-93329364f3d0,U1110,M114,444.61,2026-06-26 20:09:04.641170,0
4a1dab32-6aed-4dc7-a3e0-5309b5a1b949,U1086,M114,202.37,2026-06-12 08:01:04.641170,0
f758dce2-0556-4aea-a7b0-32831d7c0098,U1080,M113,159.7,2026-06-19 14:34:04.641170,0
f296d9f0-cd23-42c2-abff-e17b532401fc,U1095,M104,344.98,2026-06-29 14:11:04.641170,0
b08a4895-d4ff-4666-b5c8-e90d9e3d750d,U1017,M102,416.73,2026-06-12 05:59:04.641170,0
6fcc57dd-168f-4e12-9ca2-60c9eb7607c9,U1110,M103,373.57,2026-06-24 23:11:04.641170,0
6f887f28-3e49-4d09-9b19-d8b8d8302081,U1033,M117,34.69,2026-07-03 13:34:04.641170,0
1422373f-8622-48d1-a683-e10796c044d0,U1143,M110,336.66,2026-06-26 16:52:04.641170,0
beed10b6-4f6e-474b-9eda-b0276550f74a,U1090,M113,434.71,2026-06-10 08:21:04.641170,0
c77444cb-5543-4c3c-b8b8-f24e56ea57b3,U1073,M119,159.66,2026-06-12 17:19:04.641170,0
a21b0307-82af-485c-938d-994c2b0abedd,U1147,M116,110.31,2026-06-29 22:50:04.641170,0
31a3ac4d-828c-47e7-87d5-b7be1d30d990,U1057,M103,178.31,2026-07-03 07:45:04.641170,0
59e1ac09-5970-4859-86b6-e4ade7ea8d5a,U1094,M103,382.49,2026-07-04 03:14:04.641170,0
a53bc024-d1a6-4d87-b54e-2019ba35844e,U1057,M113,423.35,2026-07-03 08:16:04.641170,0
1a5165ca-3c7c-4d85-a5cf-0041d0a643fe,U1006,M119,464.9,2026-06-20 04:17:04.641170,0
2c6a6e9a-3280-47a1-8187-222b257d5e52,U1007,M105,140.27,2026-06-22 01:39:04.641170,0
c257cf73-c29d-482b-a722-796e9a36d1ec,U1086,M111,8.02,2026-06-14 12:38:04.641170,0
f387e1bd-2d59-42c6-934a-5a2fa7cf705c,U1144,M112,39.44,2026-06-09 09:39:04.641170,0
76c5a0dc-7e7e-4419-a0c1-4035c5d95f51,U1023,M116,111.49,2026-06-27 02:44:04.641170,0
9458054e-c287-4f06-9050-f7efc1235c91,U1116,M110,82.92,2026-06-22 04:33:04.641170,0
e1cde87f-ec95-4f87-ae5e-c36572eb7474,U1184,M110,389.53,2026-07-03 20:07:04.641170,0
fc8d5b93-a2a2-491f-a49b-1cd99082889b,U1152,M102,442.25,2026-06-15 02:06:04.641170,0
f891b0c3-dd3f-487e-92bd-c6619fe0a8c7,U1040,M119,29.63,2026-06-11 17:16:04.641170,0
70944bdb-26a5-44e3-90ee-7a92a09151e0,U1069,M114,332.66,2026-06-30 02:38:04.641170,0
a1a27485-7134-4c2a-b80b-3657117b355b,U1155,M114,210.02,2026-06-17 19:37:04.641170,0
97674900-4651-4367-8bdc-43184d85a3d2,U1193,M116,61.34,2026-06-27 13:44:04.641170,0
12fe28bf-81e0-4489-9a18-e2a30e614bcd,U1028,M109,340.72,2026-07-05 00:01:04.641170,0
09a0a0f6-73b0-4091-b634-c1694f76e388,U1124,M116,335.23,2026-06-10 01:46:04.641170,0
497de16d-d4ea-420a-9e65-96540e9058b6,U1056,M112,492.3,2026-06-10 12:00:04.641170,0
fa34d2e8-dd3f-4d7e-a508-dc9513a4a492,U1001,M106,154.2,2026-06-17 14:53:04.641170,0
98159d6c-9d71-4084-971d-abf9daf481a7,U1196,M104,383.26,2026-06-21 04:19:04.641170,0
949077c2-7674-456f-a26d-719d81cf3252,U1083,M103,8.83,2026-06-27 14:33:04.641170,0
bd29ede9-cab4-423b-b448-83858de7ad6c,U1044,M104,193.2,2026-06-18 11:30:04.641170,0
e8b77f7b-7321-4f6b-8a80-76ece5582e16,U1128,M117,417.51,2026-06-24 03:00:04.641170,0
30307633-a6de-41d8-9258-17b7cf501889,U1018,M112,431.57,2026-06-09 22:22:04.641170,0
80599b93-79c2-42e4-9ae1-a991524f93ff,U1111,M100,232.58,2026-06-11 13:12:04.641170,0
73557b9d-0fd6-447e-b52d-4af2269ed4c9,U1080,M118,217.5,2026-06-26 09:54:04.641170,0
d65e59dd-e62d-4d06-8f9b-85581a7f195b,U1181,M113,148.31,2026-06-26 10:34:04.641170,0
15969802-b6dd-4257-bb7d-9f1c57eb89b1,U1005,M110,90.08,2026-06-28 22:42:04.641170,0
0a0537f0-2c2c-422b-a568-95c6812a1f9b,U1176,M111,48.62,2026-06-12 19:47:04.641170,0
fdb1429e-7010-4d13-b526-b22d3f6c21f7,U1062,M113,296.49,2026-07-01 20:28:04.641170,0
9c1c3517-85d2-40a6-8629-5b5d707df251,U1020,M112,435.91,2026-06-23 11:00:04.641170,0
eafde7d9-5f73-4a3e-9d28-6aa428a39779,U1056,M110,390.66,2026-06-11 11:35:04.641170,0
c6435300-68a5-4c68-a32d-bb5e486bb6bf,U1130,M103,267.65,2026-06-16 19:57:04.641170,0
0d67d38e-990f-4c5b-adcc-3daf569f3ab3,U1198,M111,178.79,2026-06-14 17:29:04.641170,0
55ab946d-a5b5-4dc2-a181-c85eca0ac6ac,U1060,M103,77.49,2026-06-16 23:38:04.641170,0
8ed6ad5e-1831-4aa3-9466-9d1910df9974,U1044,M119,80.67,2026-06-11 10:28:04.641170,0
4082cbb9-48bd-4b3e-a2f5-df2badaa44ca,U1045,M115,234.66,2026-07-03 15:54:04.641170,0
f6e39356-a814-4562-9a00-3f16b9469bcf,U1194,M118,227.21,2026-07-03 16:44:04.641170,0
267eddce-df8f-4197-9a4a-99b2e806133c,U1164,M119,164.99,2026-06-22 09:28:04.641170,0
a9e27ba9-952e-4abb-94dd-5061555736f8,U1038,M114,38.8,2026-06-28 03:10:04.641170,0
4f6b58c8-598d-4aec-aaaf-e5432434a678,U1161,M109,399.18,2026-07-04 22:09:04.641170,0
a981b098-b2cf-452d-a7f3-33b3f7baf55e,U1014,M111,256.13,2026-06-22 03:12:04.641170,0
b576255e-9854-4f22-a102-f9c964575bc4,U1118,M114,23.62,2026-06-24 18:55:04.641170,0
8f158449-4f40-422f-95b0-2530f020e992,U1073,M102,324.11,2026-06-12 02:47:04.641170,0
54170a17-caaa-4bbe-a4bb-f962606e0e1c,U1157,M119,256.0,2026-06-29 01:34:04.641170,0
b3ecb951-ab8c-4f97-a0b7-1785d02ce0c1,U1148,M117,477.34,2026-06-09 20:58:04.641170,0
ff4625af-bd20-463b-b275-b5f3d436a7a8,U1115,M118,327.66,2026-06-22 15:21:04.641170,0
