step,type,amount,customer_id,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
72,CASH_IN,149.7148368108955,C1573,79.13617430217238,0.0,M1573,7963.850822793292,8113.565659604187,0,0
61,PAYMENT,16.77582566986071,C4935,1972.162932818337,1955.387107148476,M4935,38.36968495356048,55.14551062342119,0,0
23,TRANSFER,156.35578400148356,C2908,10144.220835316337,9987.865051314851,M2908,1128.6809604521218,1285.0367444536053,0,0
18,CASH_OUT,169.76360413723305,C315,621.6676034193359,451.90399928210286,M315,24592.826012532038,24762.589616669266,0,0
32,TRANSFER,50.19201483035646,C4976,416.3750933349813,366.18307850462486,M4976,1155.0406347420328,1205.2326495723892,0,0
57,PAYMENT,1093.972118234699,C5082,3157.029144663524,2063.0570264288244,M5082,4193.733207836943,5287.705326071642,1,0
40,CASH_IN,65.45310940953387,C3961,796.0690236330274,730.6159142234935,M3961,2195.874160851973,2261.327270261507,0,0
81,CASH_IN,548.5825683608945,C1890,43833.90338567246,43285.32081731157,M1890,813.8180313768651,1362.4005997377594,0,0
3,TRANSFER,144.00173496202106,C1932,4935.874754917824,4791.873019955803,M1932,10384.111856250824,10528.113591212848,0,0
88,CASH_OUT,41.82994492974958,C3746,1284.0768338297046,1242.246888899955,M3746,48586.63795819659,48628.46790312634,0,0
32,TRANSFER,1108.792601304798,C2646,9827.0726971342,8718.280095829401,M2646,3499.3762668962336,4608.168868201032,0,0
38,PAYMENT,1758.442973687075,C5290,13265.69405887998,11507.251085192904,M5290,35075.52737185496,36833.97034554203,1,0
58,CASH_OUT,262.57039670909245,C2927,4099.267787385891,3836.6973906767994,M2927,357.5661392377846,620.1365359468771,0,0
62,CASH_IN,71.97852581717001,C4297,140266.20378891483,140194.22526309767,M4297,3327.357712419009,3399.3362382361797,0,0
8,TRANSFER,138.80891172183567,C1541,20660.75205138959,20521.943139667757,M1541,13965.21307188828,14104.021983610117,0,0
93,PAYMENT,356.5723963431324,C1679,1224.2341776085198,867.6617812653874,M1679,12930.389009972392,13286.961406315524,0,0
58,CASH_OUT,315.1585856016795,C1865,10334.30797497048,10019.149389368802,M1865,3610.767945290013,3925.926530891692,0,0
29,CASH_IN,761.0633961768439,C1718,2529.995796248289,1768.9324000714455,M1718,31387.0205492116,32148.08394538844,0,0
67,DEBIT,336.0372328702359,C496,2219.038781112405,1883.001548242169,M496,10696.6191740577,11032.656406927936,0,0
51,TRANSFER,314.2955699238792,C1149,52.573728057160615,0.0,M1149,7093.200557119637,7407.496127043516,0,0
26,PAYMENT,189.30261523047804,C999,142.66020928160992,0.0,M999,16680.326422075774,16869.62903730625,0,0
38,DEBIT,31.19413124107504,C3509,995.32642185581,964.1322906147348,M3509,17659.21081859957,17690.404949840646,0,0
31,CASH_IN,22.46147950052863,C2087,54143.54148135643,54121.0800018559,M2087,608.6595013455357,631.1209808460643,0,0
59,CASH_IN,640.6434116967862,C3294,2035.2802172978136,1394.6368056010274,M3294,1076.1933074159476,1716.8367191127338,0,0
70,CASH_OUT,163.00352779386657,C3176,9194.478811909286,9031.47528411542,M3176,1672.355990382655,1835.3595181765213,0,0
61,DEBIT,204.59645506754308,C4880,54185.42833910069,53980.83188403315,M4880,24961.079724226885,25165.676179294427,0,0
33,TRANSFER,86.45637742745879,C3355,284.0148513376016,197.5584739101428,M3355,1464.7214985025296,1551.1778759299884,0,0
98,DEBIT,533.4018863632417,C5131,18457.44195258687,17924.040066223628,M5131,301.45647953624405,834.8583658994858,1,0
37,CASH_OUT,993.3623124240166,C1659,113.57617023832827,0.0,M1659,5173.563612327462,6166.925924751478,0,0
22,TRANSFER,1274.817349034127,C5525,4567.402104789821,3292.5847557556945,M5525,15.161431922652955,1289.9787809567797,1,0
12,CASH_IN,27.84043498808174,C2047,3179.8987054438744,3152.058270455793,M2047,974.9933565137492,1002.8337915018308,0,0
7,PAYMENT,871.4762735582577,C5042,620.0491197170118,0.0,M5042,331086.9321179016,331958.4083914599,1,0
23,DEBIT,222.93145544478944,C633,3508.4234513730967,3285.491995928307,M633,335.9019082100815,558.8333636548709,0,0
84,PAYMENT,1256.9035955699676,C2034,2257.86505826129,1000.9614626913224,M2034,4779.093019278286,6035.996614848254,0,0
60,CASH_OUT,132.69487028580892,C1220,938.0025558514182,805.3076855656093,M1220,1419.8725332518245,1552.5674035376337,0,0
82,CASH_IN,1084.4194831047157,C1270,2338.727896093392,1254.3084129886768,M1270,18489.935816001307,19574.355299106024,0,0
74,TRANSFER,843.1867736592031,C4915,3798.4791853467527,2955.2924116875497,M4915,767.2262739732304,1610.4130476324335,0,0
46,TRANSFER,36.793975510707526,C1373,95579.63820213552,95542.8442266248,M1373,928.3611198038756,965.1550953145831,0,0
65,TRANSFER,9.632303686911444,C781,8562.130831179722,8552.498527492811,M781,42.47170970496156,52.10401339187301,0,0
4,DEBIT,31.56699801582529,C3868,12885.137109400575,12853.570111384752,M3868,438.9412874602528,470.508285476078,0,0
66,CASH_OUT,2700.253484439674,C850,1668.7629213185646,0.0,M850,74810.95321824178,77511.20670268145,0,0
56,DEBIT,376.0642933731024,C1891,1409.2226982702532,1033.1584048971508,M1891,36.661923610568806,412.7262169836712,0,0
49,CASH_OUT,170.48948392206745,C5040,1333.0626344302614,1162.573150508194,M5040,14533.19555880316,14703.685042725228,1,0
94,CASH_OUT,97.09519039377795,C5184,1846.6704098699524,1749.5752194761744,M5184,168.25747332256876,265.35266371634674,1,0
53,TRANSFER,399.0966237381454,C14,107.2893570547094,0.0,M14,2266.3846351125926,2665.481258850738,0,0
55,TRANSFER,502.0366613853506,C3849,1044.5376846719637,542.5010232866128,M3849,2119.4718285764666,2621.5084899618173,0,0
94,DEBIT,293.31427833601526,C3052,320.2946262351095,26.980347899094227,M3052,27325.10549517595,27618.419773511967,0,0
46,CASH_IN,4530.9416357690925,C768,1017.131011238095,0.0,M768,168.5284416058346,4699.470077374927,0,0
45,CASH_OUT,38.80704714964248,C711,1137.36319733688,1098.556150187237,M711,570.4144666655759,609.2215138152184,0,0
30,PAYMENT,658.2193681251267,C3441,834.3154650490999,176.09609692397316,M3441,301722.9368448599,302381.15621298505,0,0
10,PAYMENT,28.171541074399475,C4755,515.50385020372,487.33230912932055,M4755,552.9687543691081,581.1402954435075,0,0
90,PAYMENT,18402.48602988584,C475,3077.2305023148056,0.0,M475,3334.7893489112894,21737.275378797127,0,0
10,TRANSFER,391.77572230753015,C877,4533.180297141062,4141.404574833531,M877,61696.62335239708,62088.39907470461,0,0
72,CASH_OUT,182.85517820374545,C3369,5305.19048366406,5122.335305460314,M3369,4728.407600522145,4911.262778725891,0,0
